City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Kavieng,PG,2022-07-22 21:08:33,-2.5744,150.7967,81.63,78,32,10.58
152,Sao Joao Da Barra,BR,2022-07-22 21:08:34,-21.6403,-41.0511,75.29,85,0,13.65
153,Sulangan,PH,2022-07-22 21:08:34,11.1373,123.7228,83.26,77,81,6.08
154,Aklavik,CA,2022-07-22 21:08:35,68.2191,-135.0107,74.73,34,92,4.65
155,Pisco,PE,2022-07-22 21:08:35,-13.7,-76.2167,60.85,82,100,8.05
156,Jining,CN,2022-07-22 21:08:35,35.405,116.5814,73.99,1,100,9.44
157,Uvarovo,RU,2022-07-22 21:08:36,51.9849,42.2615,57.7,88,59,7.09
158,Hofn,IS,2022-07-22 21:08:36,64.2539,-15.2082,52.18,92,49,6.08
159,Limot,PH,2022-07-22 21:08:36,7.0405,126.2727,73.24,93,86,3.42
160,Hervey Bay,AU,2022-07-22 21:03:55,-25.2986,152.8535,63.45,75,100,18.92
161,Itarema,BR,2022-07-22 21:08:37,-2.9248,-39.9167,79.77,78,80,17.0
162,Aykhal,RU,2022-07-22 21:08:37,66.0,111.5,56.89,82,3,2.98
163,Isangel,VU,2022-07-22 21:07:47,-19.55,169.2667,77.25,82,100,11.07
164,Khash,IR,2022-07-22 21:08:38,28.2211,61.2158,74.61,66,44,5.64
165,Stantsionno-Oyashinskiy,RU,2022-07-22 21:08:38,55.4664,83.8245,56.32,97,99,9.86
166,Mpophomeni,ZA,2022-07-22 21:08:39,-29.5682,30.1862,50.67,57,0,4.7
167,Berlevag,NO,2022-07-22 21:08:39,70.8578,29.0864,53.6,82,75,14.97
168,Souillac,MU,2022-07-22 21:08:40,-20.5167,57.5167,69.75,80,1,16.53
169,Hilo,US,2022-07-22 21:08:40,19.7297,-155.09,86.29,85,100,6.91
170,Cidreira,BR,2022-07-22 21:08:40,-30.1811,-50.2056,63.1,94,97,2.3
171,Ossora,RU,2022-07-22 21:08:41,59.2353,163.0719,59.09,62,2,2.93
172,Leningradskiy,RU,2022-07-22 21:08:41,69.3833,178.4167,35.92,88,96,8.03
173,Terrace,CA,2022-07-22 21:08:41,54.5163,-128.6035,72.52,52,67,3.09
174,Santa Cruz,BO,2022-07-22 21:08:42,-17.8,-63.1667,83.66,51,20,16.11
